Authors,Title,Journal,Publisher,Year,Research Areas,
"KOWALEWSKI, D",COUNTERINSURGENT VIGILANTISM AND PUBLIC RESPONSE - A PHILIPPINE CASE-STUDY,SOCIOLOGICAL PERSPECTIVES,JAI PRESS INC,1991,Sociology,
"Ruland, J",Constitutional debates in the Philippines - From presidentialism to parliamentarianism?,ASIAN SURVEY,UNIV CALIFORNIA PRESS,2003,Area Studies,
"Kessler, C; Ruland, J",Responses to rapid social change: Populist religion in the Philippines,PACIFIC AFFAIRS,PACIFIC AFFAIRS UNIV BRITISH COLUMBIA,2006,Area Studies,
"De Castro, RC",The 1997 Asian financial crisis and the revival of populism/neo-populism in 21st century Philippine politics,ASIAN SURVEY,UNIV CALIFORNIA PRESS,2007,Area Studies,
"Thompson, MR",REFORMISM VS. POPULISM IN THE PHILIPPINES,JOURNAL OF DEMOCRACY,JOHNS HOPKINS UNIV PRESS,2010,Government & Law,
"Garrido, M",Why the Poor Support Populism: The Politics of Sincerity in Metro Manila,AMERICAN JOURNAL OF SOCIOLOGY,UNIV CHICAGO PRESS,2017,Sociology,
"Barrera, DJ",Drug War Stories and the Philippine President,ASIAN JOURNAL OF CRIMINOLOGY,SPRINGER,2017,Criminology & Penology,
"Tigno, JV",The Philippines in 2017 Popularity Breeds Contempt,ASIAN SURVEY,UNIV CALIFORNIA PRESS,2018,Area Studies,
"Thompson, MR",The Philippine presidency in Southeast Asian perspective: imperiled and imperious presidents but not perilous presidentialism,CONTEMPORARY POLITICS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2018,Government & Law,
"Weber, BD",Fearing the Flood: Transportation as Counterinsurgency in the US-Occupied Philippines,INTERNATIONAL REVIEW OF SOCIAL HISTORY,CAMBRIDGE UNIV PRESS,2018,History,
"Davidson, JS",Rice Imports and Electoral Proximity: The Philippines and Indonesia Compared,PACIFIC AFFAIRS,PACIFIC AFFAIRS UNIV BRITISH COLUMBIA,2018,Area Studies,
"Arugay, AA; Slater, D","Polarization Without Poles: Machiavellian Conflicts and the Philippines' Lost Decade of Democracy, 2000-2010",ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,SAGE PUBLICATIONS INC,2019,Government & Law; Social Sciences - Other Topics,
"Lasco, G; Curato, N",Medical populism,SOCIAL SCIENCE & MEDICINE,PERGAMON-ELSEVIER SCIENCE LTD,2019,"Public, Environmental & Occupational Health; Biomedical Social Sciences",
"Saguin, K",Return the Lake to the People: Populist Political Rhetoric and the Fate of a Resource Frontier in the Philippines,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2019,Geography,
"Rodan, G",Inequality and Political Representation in the Philippines and Singapore,JOURNAL OF CONTEMPORARY ASIA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2021,Area Studies,
